ProblemID,Group,n,m,Replication,Seed,PoolSize,PoolBest,PoolMean,PoolSD,PoolWorst,EliteN,PoorN,TieMode,ElapsedSec,HistoricalPRAuditPass,HistoricalPRMatched,HistoricalPRChecked
Ta100_20_10,100×20,100,20,3,191403228,1000000,7356,7972.384213,152.71978077086828,8784,50000,100000,numpy_quicksort,3.66815823899924,True,10,10
Ta100_20_10,100×20,100,20,4,191404237,1000000,7330,7972.320494,152.7231564104097,8748,50000,100000,numpy_quicksort,3.687142757999936,True,10,10
Ta100_20_10,100×20,100,20,5,191405246,1000000,7271,7972.632572,152.6395515045085,8800,50000,100000,numpy_quicksort,3.245775733999835,True,10,10
Ta200_10_1,200×10,200,10,1,2010001210,2000000,11500,12330.7507995,210.12291444873492,13509,100000,200000,numpy_quicksort,26.004421115000696,True,10,10
Ta200_10_1,200×10,200,10,2,2010002219,2000000,11490,12331.058278,210.163453882956,13508,100000,200000,numpy_quicksort,28.370658507999902,True,10,10
Ta200_10_1,200×10,200,10,3,2010003228,2000000,11480,12331.0203005,210.20654197190163,13526,100000,200000,numpy_quicksort,29.88748636299988,True,10,10
Ta200_10_1,200×10,200,10,4,2010004237,2000000,11477,12331.0440855,210.1552482917876,13614,100000,200000,numpy_quicksort,28.24852505800027,True,10,10
Ta200_10_1,200×10,200,10,5,2010005246,2000000,11478,12331.040881,210.05432062481515,13616,100000,200000,numpy_quicksort,29.257962767999743,True,10,10
Ta200_10_2,200×10,200,10,1,2010101210,2000000,11449,12271.7736865,212.0120922571714,13558,100000,200000,numpy_quicksort,27.10033948900036,True,10,10
Ta200_10_2,200×10,200,10,2,2010102219,2000000,11396,12272.0430995,212.18623631242565,13571,100000,200000,numpy_quicksort,27.764327871000205,True,10,10
Ta200_10_2,200×10,200,10,3,2010103228,2000000,11380,12271.6648865,212.02823928766955,13570,100000,200000,numpy_quicksort,29.279096850000315,True,10,10
Ta200_10_2,200×10,200,10,4,2010104237,2000000,11456,12271.642698,212.1204235589252,13498,100000,200000,numpy_quicksort,30.47810910600037,True,10,10
Ta200_10_2,200×10,200,10,5,2010105246,2000000,11400,12271.679445,211.9137124095624,13635,100000,200000,numpy_quicksort,26.43405220899968,True,10,10
Ta200_10_3,200×10,200,10,1,2010201210,2000000,11676,12478.288166,209.4235813739099,13714,100000,200000,numpy_quicksort,25.28048248999949,True,10,10
Ta200_10_3,200×10,200,10,2,2010202219,2000000,11675,12478.409618,209.2392721422788,13685,100000,200000,numpy_quicksort,25.431471080999472,True,10,10
Ta200_10_3,200×10,200,10,3,2010203228,2000000,11639,12478.366922,209.17809866471296,13645,100000,200000,numpy_quicksort,30.38370487400061,True,10,10
Ta200_10_3,200×10,200,10,4,2010204237,2000000,11659,12478.1018125,209.19244719744265,13698,100000,200000,numpy_quicksort,25.84780692899949,True,10,10
Ta200_10_3,200×10,200,10,5,2010205246,2000000,11665,12478.3857335,209.34802192871115,13697,100000,200000,numpy_quicksort,26.82095245600067,True,10,10
Ta200_10_4,200×10,200,10,1,2010301210,2000000,11388,12279.939659,213.4682669492452,13502,100000,200000,numpy_quicksort,27.17760876400007,True,10,10
Ta200_10_4,200×10,200,10,2,2010302219,2000000,11378,12279.814509,213.28605840410728,13516,100000,200000,numpy_quicksort,28.56468715499977,True,10,10
Ta200_10_4,200×10,200,10,3,2010303228,2000000,11411,12279.760482,213.31126053486864,13569,100000,200000,numpy_quicksort,26.7239387970003,True,10,10
Ta200_10_4,200×10,200,10,4,2010304237,2000000,11454,12279.763146,213.41005671970763,13493,100000,200000,numpy_quicksort,28.583472620000062,True,10,10
Ta200_10_4,200×10,200,10,5,2010305246,2000000,11460,12279.7374445,213.36298618080727,13609,100000,200000,numpy_quicksort,26.82972722500017,True,10,10
Ta200_10_5,200×10,200,10,1,2010401210,2000000,11339,12275.359169,216.1559991217857,13534,100000,200000,numpy_quicksort,24.536577116000444,True,10,10
Ta200_10_5,200×10,200,10,2,2010402219,2000000,11420,12275.4949365,216.0674164234977,13590,100000,200000,numpy_quicksort,26.959395413000493,True,10,10
Ta200_10_5,200×10,200,10,3,2010403228,2000000,11382,12275.516751,215.7249897277541,13501,100000,200000,numpy_quicksort,27.924564124000423,True,10,10
Ta200_10_5,200×10,200,10,4,2010404237,2000000,11387,12275.4125035,216.1099935498753,13537,100000,200000,numpy_quicksort,27.522806197000136,True,10,10
Ta200_10_5,200×10,200,10,5,2010405246,2000000,11433,12275.4623125,216.0662770609296,13525,100000,200000,numpy_quicksort,24.5062293459996,True,10,10
Ta200_10_6,200×10,200,10,1,2010501210,2000000,11149,12028.990344,216.3510378913109,13277,100000,200000,numpy_quicksort,27.30666351800028,True,10,10
Ta200_10_6,200×10,200,10,2,2010502219,2000000,11181,12029.162035,216.2699073310829,13253,100000,200000,numpy_quicksort,27.63443097199979,True,10,10
Ta200_10_6,200×10,200,10,3,2010503228,2000000,11220,12029.0351815,216.07653846333545,13244,100000,200000,numpy_quicksort,25.99210268799925,True,10,10
